Organization,PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Primacy Type,Primary Source,Activity Status,Deactivation Date,Population Served Count,Rule Name,Violation Code,Violation Type,Violation Category Code,Is Health Based,Contaminant Name,Compliance Period Begin Date,Compliance Period Begin Month,Quarter,Compliance Period Begin Day,Compliance Period Begin Year,Compliance Period End Date,Compliance Status,RTC Date,Enforcement Action Type Code,Enforcement Action Description,Is Major Violation,Severity Indicator Count,Public Notification Tier,Violation First Reported Date
FRCOG,MA1217001,EAST NORTHFIELD WATER CO,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,726,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Total Haloacetic Acids (HAA5),1-Sep-19,9,3,1,2019,30-Sep-19,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,1,3,18-Dec-19
FRCOG,MA1106000,RIVERSIDE WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Surface water purchased,Active,-,341,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Total Haloacetic Acids (HAA5),1-Aug-19,8,3,1,2019,31-Aug-19,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,1,3,18-Dec-19
FRCOG,MA1106000,RIVERSIDE WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Surface water purchased,Active,-,341,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,TTHM,1-Aug-19,8,3,1,2019,31-Aug-19,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,1,3,18-Dec-19
FRCOG,MA1074001,SOUTH DEERFIELD WATER SUPPLY DISTRICT,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,"3,800",Public Notice Rule,75,Public Notification Violation for NPDWR Violation,Other,N,Public Notice,23-Aug-18,8,3,23,2018,-,Returned to Compliance,29-Aug-18,SOX,State Compliance achieved,-,-,3,28-Mar-19
FRCOG,MA1074001,SOUTH DEERFIELD WATER SUPPLY DISTRICT,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,"3,800",Long Term 1 Enhanced Surface Water Treatment Rule,44,Monthly Turbidity Exceed (Enhanced SWTR),TT,Y,Interim Enhanced Surfsce Water Treatment Rule,1-Aug-18,8,3,1,2018,31-Aug-18,Returned to Compliance,10-Oct-18,SOX,State Compliance achieved,-,-,1,28-Mar-19
FRCOG,MA1074001,SOUTH DEERFIELD WATER SUPPLY DISTRICT,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,"3,800",Long Term 1 Enhanced Surface Water Treatment Rule,44,Monthly Turbidity Exceed (Enhanced SWTR),TT,Y,Interim Enhanced Surfsce Water Treatment Rule,1-Jul-18,7,3,1,2018,31-Jul-18,Returned to Compliance,10-Oct-18,SOX,State Compliance achieved,-,-,1,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2-Dichloropropane",1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1074001,SOUTH DEERFIELD WATER SUPPLY DISTRICT,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,"3,800",Long Term 1 Enhanced Surface Water Treatment Rule,9,Record Keeping,Other,N,Interim Enhanced Surfsce Water Treatment Rule,1-Jul-18,7,3,1,2018,-,Returned to Compliance,10-Sep-18,SOX,State Compliance achieved,-,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"cis-1,2-Dichloroethylene",1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"trans-1,2-Dichloroethylene",1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
